angle
0.782146
0.191529
8.517100
-0.641891
0.161590
-0.203429
-0.590657
4.631165
0.565529
-0.592694
-0.730089
-0.502539
5.620263
0.018971
5.811348
0.994753
1.976735
4.982966
1.385918
4.877987
0.350618
1.274451
0.514771
1.014762
